"GPU","GPU_ID","LowPrice","MediumPrice","HighPrice","BatchCapacity","LowCapacity","MediumCapacity","HighCapacity"
"RTX 5070 (12 GB)","61e8ceee-4479-40c5-9a05-1711f45f931c",,,,"4","46","46","46"
"RTX 5060 Ti (16 GB)","5d6b104d-c029-4357-b179-8b662d0a76b2",,,,"3","16","17","17"
"RTX 5090 Laptop (24 GB)","83ef776e-ce34-4d89-8cf9-81898f1416fa",,,,"1","5","5","7"
"RTX 5060 (8 GB)","73245a63-230a-4e65-9969-54b42e0d0521",,,,"0","5","5","5"
"RTX 4060 (8 GB)","9283d461-dc4c-4921-8863-c921d2c6f54f",,,,"0","4","4","4"
"RTX 3090 Ti (24 GB)","9998fe42-04a5-4807-b3a5-849943f16c38",,,,"2","20","24","24"
"RTX 4070 Ti Super (16 GB)","f1380143-51cd-4bad-80cb-1f86ee6b49fe",,,,"3","115","119","119"
"RTX A5000 (24 GB)","6d4e9e99-d27e-4751-8d7d-393f7d8ea949",,,,"0","1","1","1"
"RTX 3060 Ti (8 GB)","cb6c1931-89b6-4f76-976f-54047320ccc6",,,,"0","16","17","17"
"GTX 1650 (4 GB)","0f60d6f5-642a-44a5-af51-3ac34d7602c1",,,,"0","0","0","0"
"RTX 5070 Ti (16 GB)","1b8747be-e789-475b-a339-3c1028010d84",,,,"1","60","84","84"
"RTX 5090 (32 GB)","851399fb-7329-4195-a042-d6514b28cf33",,,,"0","4","74","161"
"AMD RX 9060 XT (16GB)","06125b2f-b283-495b-be27-5c245ce44192",,,,"0","0","0","0"
"AMD RX 7900 XTX (24GB)","91b76f19-cbe4-4ef6-a174-c808e6fdad50",,,,"0","1","1","1"
"AMD RX 7800 XT (16GB)","4d8bc6b5-c47c-4118-b5c6-ed83f027117a",,,,"0","1","1","1"
"AMD RX 7900 XT (20GB)","d26d66be-ca31-44b5-98c2-ab39d0bb4473",,,,"0","0","0","0"
"AMD RX 9070 XT (16GB)","607fa086-6ca8-4c94-9739-9813ced67841",,,,"0","0","0","0"
"RTX 4070 Laptop (8 GB)","8ac6b6a5-f555-4c64-bcb5-b0b86d5360fb",,,,"0","2","2","3"
" RTX 5080 (16 GB)","8065b30b-4a27-434c-8610-222e8df8fad7",,,,"0","74","74","74"
"Stable Diffusion Compatible","dec851b7-eba7-4457-a319-a01b611a810e",,,,"14","72","78","78"
"GTX 1060 (6 GB)","b550790a-cc32-4c76-a0d8-e965c027fe02",,,,"0","0","0","0"
"RTX 3050 (8 GB)","99305b63-f7cf-4b8d-ae33-2d6b6ff0b085",,,,"0","0","0","0"
"GTX 1050 Ti (4 GB)","ce8950bc-a52a-4bef-ac64-1fe3c7078b5d",,,,"1","2","2","2"
"RTX 3080 Ti (12 GB)","65247de0-746f-45c6-8537-650ba613966a",,,,"1","16","17","17"
"RTX 4060 Ti (16 GB)","2b73eef8-be49-4667-8fc0-5c0cb127cfe0",,,,"5","75","85","85"
"RTX 2060 (6 GB)","3eae6ce4-aa14-4c7d-b502-131730c9af48",,,,"0","2","2","2"
"RTX 2070 (8 GB)","2aec4fc1-2270-4e40-b8cc-6e69fae61d4f",,,,"0","0","3","3"
"RTX 3060 (12 GB)","f51baccc-dc95-40fb-a5d1-6d0ee0db31d2",,,,"10","27","29","29"
"GTX 1070, 1080, 1080Ti (8 GB)","6b17a5e7-9a6a-4f1c-9782-243277f4fa00",,,,"0","0","0","0"
"RTX 4070 Ti (12 GB)","de00c90b-904b-4d9e-8fc9-1d9a08eb0932",,,,"0","33","33","33"
"RTX 2080 Ti (11 GB)","6d3221b4-1fd0-4cc4-98cd-2c1895a18c2e",,,,"0","10","12","12"
"RTX 3090 (24 GB)","a5db5c50-cbcb-4596-ae80-6a0c8090d80f",,,,"21","202","222","236"
"RTX 3060 (8 GB)","69071b6c-3d2c-4181-b3ce-de03aec04b9f",,,,"0","0","0","0"
"RTX 4080 (16 GB)","0d062939-7c01-4aae-a2b1-30e315124e51",,,,"7","61","62","62"
"GTX 1660 Super (6 GB)","f474c159-1600-460c-9f84-b7f585750be9",,,,"0","1","2","3"
"RTX 4070 (12 GB)","0798d5aa-2d17-42ee-81b8-ea92e3bc088e",,,,"2","62","63","63"
"RTX 2080 (8 GB)","ffc51032-64d2-4df3-855a-f3a649895c0f",,,,"2","4","4","4"
"RTX 3070 Ti (8 GB)","d9fb0bd6-05c9-4cb9-b98e-9f7d1b5ba0e7",,,,"0","6","6","6"
"RTX 3080 (10 GB)","43a49c0c-f860-40e9-a509-702d0dba0902",,,,"2","24","24","26"
"RTX 3070 (8 GB)","951131f6-5acf-489c-b303-0906be8b26ef",,,,"1","7","7","7"
"GTX 1660 (6 GB)","0ec75caa-1282-4546-a925-4b90c2c6b3fd",,,,"0","1","1","1"
"RTX 4090 (24 GB)","ed563892-aacd-40f5-80b7-90c9be6c759b",,,,"2","5","6","167"
